Two_Var_XZ,Two_Var_YZ,Lancaster_XY_Z,mrna,mirna1,mirna2,BH_rejected,BH_pvalues_adjusted
0.0755,0.031,0.0035,203859,hsa-mir-29a-3p,hsa-mir-29b-3p,True,0.018044313442412578
0.2085,0.0405,0.0025,952,hsa-mir-19b-1-5p,hsa-mir-20a-5p,True,0.014039620828236938
0.03,0.0185,0.002,952,hsa-mir-17-5p,hsa-mir-20a-5p,True,0.011834484028353126
0.012,0.1935,0.0035,3675,hsa-mir-1-3p,hsa-mir-766-3p,True,0.018044313442412578
0.0145,0.079,0.004,1770,hsa-mir-30c-1-3p,hsa-mir-3913-5p,True,0.01992529448233106
0.013,0.0615,0.0015,54443,hsa-mir-141-5p,hsa-mir-497-5p,True,0.009529403044079858
0.0195,0.0165,0.0095,54443,hsa-mir-141-5p,hsa-mir-582-5p,True,0.037736404647138795
0.0165,0.022,0.0,54443,hsa-mir-582-5p,hsa-mir-141-3p,True,0.0
0.011,0.025,0.002,1373,hsa-mir-324-3p,hsa-mir-874-3p,True,0.011834484028353126
0.233,0.284,0.001,58528,hsa-mir-301a-3p,hsa-mir-424-5p,True,0.006894669097929851
0.342,0.011,0.005,58528,hsa-mir-424-5p,hsa-mir-93-5p,True,0.023510972933430872
0.3035,0.0115,0.008,7431,hsa-mir-95-3p,hsa-mir-486-5p,True,0.03337435098650052
0.0265,0.016,0.0035,7414,hsa-mir-335-3p,hsa-mir-616-5p,True,0.018044313442412578
0.256,0.0115,0.008,4238,hsa-mir-182-5p,hsa-mir-20a-5p,True,0.03337435098650052
0.37,0.24,0.008,3371,hsa-mir-224-5p,hsa-mir-452-3p,True,0.03337435098650052
0.372,0.0285,0.0035,57475,hsa-mir-362-5p,hsa-mir-654-3p,True,0.018044313442412578
0.1,0.2695,0.001,493,hsa-mir-625-5p,hsa-mir-193b-3p,True,0.006894669097929851
0.0935,0.181,0.0,9340,hsa-mir-3613-3p,hsa-mir-130a-3p,True,0.0
0.0135,0.0165,0.0,259266,hsa-mir-10a-3p,hsa-mir-195-5p,True,0.0
0.5185,0.1575,0.0095,8653,hsa-mir-222-3p,hsa-mir-29b-3p,True,0.037736404647138795
0.1775,0.019,0.005,5743,hsa-mir-653-5p,hsa-mir-96-5p,True,0.023510972933430872
0.045,0.036,0.0,771,hsa-mir-18a-5p,hsa-mir-29a-3p,True,0.0
0.372,0.0405,0.009,771,hsa-mir-18b-5p,hsa-mir-29a-3p,True,0.03628165569143932
0.059,0.0255,0.0005,771,hsa-mir-2355-3p,hsa-mir-335-5p,True,0.0038985322658903446
0.016,0.0435,0.0005,1906,hsa-mir-19b-1-5p,hsa-mir-33b-5p,True,0.0038985322658903446
0.1505,0.4565,0.0075,9452,hsa-mir-3613-3p,hsa-mir-335-5p,True,0.03185072013742072
0.0195,0.164,0.008,2195,hsa-mir-214-3p,hsa-mir-92a-1-5p,True,0.03337435098650052
0.118,0.19,0.006,4680,hsa-mir-766-3p,hsa-mir-9-3p,True,0.02699664006719866
0.07,0.034,0.0035,6319,hsa-mir-200a-3p,hsa-mir-214-5p,True,0.018044313442412578
0.4025,0.095,0.007,6319,hsa-mir-29a-3p,hsa-mir-199a-3p,True,0.030283550948983714
0.4695,0.152,0.001,182,hsa-mir-20a-3p,hsa-mir-138-5p,True,0.006894669097929851
0.219,0.022,0.003,26051,hsa-mir-339-5p,hsa-mir-34a-3p,True,0.016097921362384172
0.026,0.063,0.006,340554,hsa-mir-342-3p,hsa-mir-181b-5p,True,0.02699664006719866
0.015,0.748,0.001,10725,hsa-mir-20a-3p,hsa-mir-421,True,0.006894669097929851
0.4235,0.3565,0.009,10725,hsa-mir-490-3p,hsa-mir-7-5p,True,0.03628165569143932
0.412,0.0645,0.0,10725,hsa-mir-490-3p,hsa-mir-345-5p,True,0.0
0.4705,0.1715,0.0085,10391,hsa-mir-335-5p,hsa-mir-192-5p,True,0.03486958325355798
0.2425,0.458,0.007,10397,hsa-mir-512-3p,hsa-mir-338-5p,True,0.030283550948983714
0.013,0.014,0.007,10397,hsa-mir-133a-3p,hsa-mir-10a-5p,True,0.030283550948983714
0.015,0.0645,0.0005,10397,hsa-mir-1-3p,hsa-mir-93-5p,True,0.0038985322658903446
0.138,0.088,0.001,7227,hsa-mir-130a-3p,hsa-mir-616-5p,True,0.006894669097929851
0.142,0.044,0.0,7227,hsa-mir-130a-3p,hsa-mir-29b-3p,True,0.0
0.047,0.1195,0.001,7227,hsa-mir-193b-3p,hsa-mir-616-5p,True,0.006894669097929851
0.0305,0.0125,0.0,284352,hsa-mir-539-5p,hsa-mir-125b-5p,True,0.0
0.0385,0.036,0.009,6510,hsa-mir-760,hsa-mir-218-5p,True,0.03628165569143932
0.0625,0.178,0.0095,1021,hsa-mir-362-3p,hsa-mir-188-5p,True,0.037736404647138795
0.0135,0.1845,0.008,1021,hsa-mir-590-5p,hsa-mir-188-5p,True,0.03337435098650052
0.0145,0.2415,0.004,1021,hsa-mir-590-5p,hsa-mir-767-5p,True,0.01992529448233106
0.0155,0.0525,0.002,1021,hsa-mir-590-5p,hsa-mir-651-5p,True,0.011834484028353126
0.018,0.027,0.001,1021,hsa-mir-10b-5p,hsa-mir-651-5p,True,0.006894669097929851
0.246,0.034,0.0005,1021,hsa-mir-105-5p,hsa-mir-651-5p,True,0.0038985322658903446
0.056,0.1415,0.0065,1021,hsa-mir-570-3p,hsa-mir-491-3p,True,0.028692040928443893
0.037,0.32,0.003,1021,hsa-mir-570-3p,hsa-mir-320b,True,0.016097921362384172
0.283,0.024,0.001,1021,hsa-mir-767-5p,hsa-mir-651-5p,True,0.006894669097929851
0.031,0.011,0.0085,1021,hsa-mir-651-5p,hsa-mir-548v,True,0.03486958325355798
0.0825,0.0255,0.0005,4223,hsa-mir-130a-3p,hsa-mir-335-5p,True,0.0038985322658903446
0.0865,0.069,0.009,219699,hsa-mir-1262,hsa-mir-1226-3p,True,0.03628165569143932
0.0675,0.337,0.009,3131,hsa-mir-362-3p,hsa-mir-377-3p,True,0.03628165569143932
0.017,0.0725,0.0075,83871,hsa-mir-93-3p,hsa-mir-142-5p,True,0.03185072013742072
0.2545,0.0105,0.002,6309,hsa-mir-221-5p,hsa-mir-29b-3p,True,0.011834484028353126
0.2665,0.0375,0.0025,595,hsa-mir-424-5p,hsa-mir-490-3p,True,0.014039620828236938
0.0565,0.0735,0.008,595,hsa-mir-490-3p,hsa-mir-766-3p,True,0.03337435098650052
0.32,0.0145,0.0095,6506,hsa-mir-3913-5p,hsa-mir-200c-3p,True,0.037736404647138795
0.0115,0.046,0.0,4939,hsa-mir-32-3p,hsa-mir-9-3p,True,0.0
0.104,0.0395,0.002,7803,hsa-mir-203a-3p,hsa-mir-218-5p,True,0.011834484028353126
0.018,0.03,0.0,57561,hsa-mir-181d-5p,hsa-mir-93-3p,True,0.0
0.2815,0.445,0.0015,5144,hsa-mir-151a-3p,hsa-mir-29a-5p,True,0.009529403044079858
0.0375,0.4605,0.003,55704,hsa-mir-219a-5p,hsa-mir-651-5p,True,0.016097921362384172
0.4085,0.025,0.0085,55704,hsa-mir-651-5p,hsa-mir-148a-5p,True,0.03486958325355798
0.1145,0.0475,0.0025,3488,hsa-mir-3613-3p,hsa-mir-424-5p,True,0.014039620828236938
0.028,0.0115,0.0005,3488,hsa-mir-625-3p,hsa-mir-653-5p,True,0.0038985322658903446
0.1185,0.3365,0.004,3554,hsa-mir-215-5p,hsa-mir-221-5p,True,0.01992529448233106
0.1665,0.04,0.0005,2043,hsa-mir-20b-5p,hsa-mir-10a-5p,True,0.0038985322658903446
0.0365,0.6425,0.0025,2043,hsa-mir-10a-5p,hsa-mir-106a-5p,True,0.014039620828236938
0.0195,0.013,0.003,23266,hsa-mir-106a-5p,hsa-mir-19a-3p,True,0.016097921362384172
0.026,0.3155,0.0095,2152,hsa-mir-18b-5p,hsa-mir-18a-3p,True,0.037736404647138795
0.029,0.083,0.002,6446,hsa-mir-29c-3p,hsa-mir-192-3p,True,0.011834484028353126
0.011,0.1,0.0005,894,hsa-mir-320c,hsa-mir-10b-5p,True,0.0038985322658903446
0.1035,0.784,0.005,894,hsa-mir-10b-5p,hsa-mir-340-3p,True,0.023510972933430872
0.0765,0.08,0.005,894,hsa-mir-10b-5p,hsa-mir-3065-3p,True,0.023510972933430872
0.0905,0.4395,0.001,894,hsa-mir-10b-5p,hsa-mir-34b-5p,True,0.006894669097929851
0.408,0.085,0.0085,894,hsa-mir-424-5p,hsa-mir-3065-3p,True,0.03486958325355798
0.2415,0.252,0.0,894,hsa-mir-29b-3p,hsa-mir-21-3p,True,0.0
0.2455,0.154,0.0065,894,hsa-mir-29b-3p,hsa-mir-2355-5p,True,0.028692040928443893
0.024,0.038,0.0,26147,hsa-mir-192-5p,hsa-mir-424-5p,True,0.0
0.0165,0.0495,0.009,79646,hsa-mir-496,hsa-mir-31-5p,True,0.03628165569143932
0.039,0.08,0.004,1958,hsa-mir-424-5p,hsa-mir-760,True,0.01992529448233106
0.023,0.176,0.0025,8795,hsa-mir-301a-3p,hsa-mir-218-5p,True,0.014039620828236938
0.014,0.024,0.005,83690,hsa-mir-29a-3p,hsa-mir-29b-3p,True,0.023510972933430872
0.0145,0.03,0.0055,119587,hsa-mir-424-5p,hsa-mir-627-5p,True,0.025294018745081203
0.0195,0.034,0.0,119587,hsa-mir-627-5p,hsa-mir-29a-5p,True,0.0
0.2765,0.067,0.0075,3204,hsa-mir-2110,hsa-mir-501-5p,True,0.03185072013742072
0.0495,0.0125,0.0015,3164,hsa-mir-182-5p,hsa-mir-130b-5p,True,0.009529403044079858
0.904,0.015,0.0,3164,hsa-mir-335-5p,hsa-mir-130b-5p,True,0.0
0.098,0.493,0.0005,23363,hsa-mir-146b-3p,hsa-mir-760,True,0.0038985322658903446
0.0965,0.095,0.0035,1026,hsa-mir-497-5p,hsa-mir-616-5p,True,0.018044313442412578
0.1035,0.405,0.0005,1026,hsa-mir-497-5p,hsa-mir-1229-3p,True,0.0038985322658903446
0.095,0.029,0.0005,1026,hsa-mir-497-5p,hsa-mir-20a-5p,True,0.0038985322658903446
0.055,0.014,0.008,6310,hsa-mir-939-5p,hsa-mir-130a-3p,True,0.03337435098650052
0.025,0.0725,0.0045,79026,hsa-mir-1296-5p,hsa-mir-181b-5p,True,0.02178128765060241
0.2995,0.161,0.0095,650,hsa-mir-20a-5p,hsa-mir-19a-3p,True,0.037736404647138795
0.2975,0.1745,0.004,154796,hsa-mir-196a-5p,hsa-mir-3199,True,0.01992529448233106
0.288,0.0345,0.0005,154796,hsa-mir-196a-5p,hsa-mir-29a-3p,True,0.0038985322658903446
0.2095,0.035,0.0055,154796,hsa-mir-3199,hsa-mir-29a-3p,True,0.025294018745081203
0.2665,0.0275,0.0,154796,hsa-mir-7-5p,hsa-mir-29a-3p,True,0.0
0.0485,0.02,0.005,9002,hsa-mir-20a-5p,hsa-mir-17-5p,True,0.023510972933430872
0.5385,0.032,0.0025,9002,hsa-mir-125a-3p,hsa-mir-17-5p,True,0.014039620828236938
0.0155,0.4705,0.0005,79689,hsa-mir-301a-3p,hsa-mir-130a-3p,True,0.0038985322658903446
0.273,0.011,0.0085,3949,hsa-mir-181b-5p,hsa-mir-450b-5p,True,0.03486958325355798
0.025,0.112,0.007,4131,hsa-mir-148a-5p,hsa-mir-21-3p,True,0.030283550948983714
0.0205,0.116,0.0095,4131,hsa-mir-148a-5p,hsa-mir-27a-5p,True,0.037736404647138795
0.0105,0.055,0.0,10810,hsa-mir-942-5p,hsa-mir-93-5p,True,0.0
0.535,0.124,0.0085,3656,hsa-mir-1262,hsa-mir-766-3p,True,0.03486958325355798
0.061,0.642,0.0005,10752,hsa-mir-182-5p,hsa-mir-10a-5p,True,0.0038985322658903446
0.0355,0.0155,0.0,5738,hsa-mir-18b-5p,hsa-mir-18a-3p,True,0.0
0.024,0.558,0.009,8739,hsa-mir-205-3p,hsa-mir-130b-3p,True,0.03628165569143932
0.0195,0.034,0.002,2045,hsa-mir-130b-3p,hsa-mir-3928-3p,True,0.011834484028353126
0.027,0.064,0.0,2045,hsa-mir-130b-3p,hsa-mir-103a-2-5p,True,0.0
0.0325,0.0385,0.003,2045,hsa-mir-130b-3p,hsa-mir-331-3p,True,0.016097921362384172
0.028,0.0175,0.0,2045,hsa-mir-3928-3p,hsa-mir-141-3p,True,0.0
0.036,0.3165,0.0005,2045,hsa-mir-3928-3p,hsa-mir-196b-5p,True,0.0038985322658903446
0.064,0.0115,0.0015,2045,hsa-mir-103a-2-5p,hsa-mir-141-3p,True,0.009529403044079858
0.073,0.016,0.0,2045,hsa-mir-103a-2-5p,hsa-mir-33a-5p,True,0.0
0.08,0.7575,0.0005,2045,hsa-mir-103a-2-5p,hsa-mir-421,True,0.0038985322658903446
0.072,0.0515,0.0,2045,hsa-mir-103a-2-5p,hsa-mir-331-3p,True,0.0
0.0555,0.333,0.0005,2045,hsa-mir-103a-2-5p,hsa-mir-196b-5p,True,0.0038985322658903446
