"info","is_mrna_tf","name","selected","shared name","updown"
"mirna",,"mir-33b-5p","false","mir-33b-5p","Up"
"dummy",,"","false","mir-33b-5p/mir-33a-5p","dummy"
"mirna",,"mir-7-5p","false","mir-7-5p","Up"
"dummy",,"","false","mir-7-5p/mir-129-2-3p","dummy"
"mirna",,"mir-3200-3p","false","mir-3200-3p","Down"
"dummy",,"","false","mir-3200-3p/mir-7-5p","dummy"
"mirna",,"mir-129-2-3p","false","mir-129-2-3p","Up"
"dummy",,"","false","mir-129-2-3p/mir-103a-2-5p","dummy"
"mirna",,"mir-642a-5p","false","mir-642a-5p","Up"
"dummy",,"","false","mir-642a-5p/mir-7-5p","dummy"
"mirna",,"mir-141-3p","false","mir-141-3p","Up"
"dummy",,"","false","mir-141-3p/mir-1224-5p","dummy"
"mirna",,"mir-203a-3p","false","mir-203a-3p","Up"
"dummy",,"","false","mir-203a-3p/mir-192-5p","dummy"
"mirna",,"mir-19a-3p","false","mir-19a-3p","Down"
"dummy",,"","false","mir-19a-3p/mir-103a-2-5p","dummy"
"mirna",,"mir-96-5p","false","mir-96-5p","Up"
"dummy",,"","false","mir-96-5p/mir-139-5p","dummy"
"mirna",,"mir-3909","false","mir-3909","Down"
"dummy",,"","false","mir-3909/mir-9-3p","dummy"
"mirna",,"mir-139-5p","false","mir-139-5p","Down"
"dummy",,"","false","mir-139-5p/mir-33b-5p","dummy"
"mirna",,"mir-429","false","mir-429","Up"
"dummy",,"","false","mir-429/mir-106a-5p","dummy"
"dummy",,"","false","mir-203a-3p/mir-205-5p","dummy"
"dummy",,"","false","mir-96-5p/mir-203a-3p","dummy"
"mirna",,"mir-33a-5p","false","mir-33a-5p","Down"
"dummy",,"","false","mir-33a-5p/mir-483-3p","dummy"
"dummy",,"","false","mir-7-5p/mir-194-3p","dummy"
"dummy",,"","false","mir-7-5p/mir-33b-5p","dummy"
"mirna",,"mir-577","false","mir-577","Up"
"dummy",,"","false","mir-577/mir-3065-3p","dummy"
"mirna",,"mir-511-5p","false","mir-511-5p","Down"
"dummy",,"","false","mir-511-5p/mir-1-3p","dummy"
"mirna",,"mir-676-3p","false","mir-676-3p","Up"
"dummy",,"","false","mir-676-3p/mir-96-5p","dummy"
"mirna",,"mir-129-5p","false","mir-129-5p","Up"
"dummy",,"","false","mir-129-5p/mir-3200-3p","dummy"
"dummy",,"","false","mir-96-5p/mir-3200-3p","dummy"
"mirna",,"mir-150-5p","false","mir-150-5p","Down"
"dummy",,"","false","mir-150-5p/mir-577","dummy"
"dummy",,"","false","mir-129-5p/mir-33a-5p","dummy"
"mirna",,"mir-30c-1-3p","false","mir-30c-1-3p","Down"
"dummy",,"","false","mir-30c-1-3p/mir-1228-3p","dummy"
"mirna",,"mir-146a-5p","false","mir-146a-5p","Down"
"dummy",,"","false","mir-146a-5p/mir-196b-5p","dummy"
"mirna",,"mir-584-5p","false","mir-584-5p","Up"
"dummy",,"","false","mir-584-5p/mir-193b-3p","dummy"
"dummy",,"","false","mir-129-5p/mir-96-5p","dummy"
"dummy",,"","false","mir-141-3p/mir-676-3p","dummy"
"dummy",,"","false","mir-642a-5p/mir-511-5p","dummy"
"mirna",,"mir-486-5p","false","mir-486-5p","Down"
"dummy",,"","false","mir-486-5p/mir-3934-5p","dummy"
"mirna",,"mir-3682-3p","false","mir-3682-3p","Down"
"dummy",,"","false","mir-3682-3p/mir-193b-5p","dummy"
"dummy",,"","false","mir-150-5p/mir-224-5p","dummy"
"dummy",,"","false","mir-129-5p/mir-577","dummy"
"dummy",,"","false","mir-33a-5p/mir-7-5p","dummy"
"mirna",,"mir-205-5p","false","mir-205-5p","Up"
"dummy",,"","false","mir-205-5p/mir-193b-3p","dummy"
"mirna",,"mir-656-3p","false","mir-656-3p","Down"
"dummy",,"","false","mir-656-3p/mir-642a-5p","dummy"
"mirna",,"mir-9-5p","false","mir-9-5p","Up"
"dummy",,"","false","mir-9-5p/mir-642a-5p","dummy"
"mirna",,"mir-296-3p","false","mir-296-3p","Up"
"dummy",,"","false","mir-296-3p/mir-592","dummy"
"dummy",,"","false","mir-141-3p/mir-150-5p","dummy"
"mirna",,"mir-103a-2-5p","false","mir-103a-2-5p","Down"
"mirna",,"mir-1224-5p","false","mir-1224-5p","Up"
"mirna",,"mir-192-5p","false","mir-192-5p","Up"
"mirna",,"mir-9-3p","false","mir-9-3p","Up"
"mirna",,"mir-106a-5p","false","mir-106a-5p","Down"
"mirna",,"mir-483-3p","false","mir-483-3p","Down"
"mirna",,"mir-194-3p","false","mir-194-3p","Up"
"mirna",,"mir-3065-3p","false","mir-3065-3p","Up"
"mirna",,"mir-1-3p","false","mir-1-3p","Down"
"mirna",,"mir-1228-3p","false","mir-1228-3p","Down"
"mirna",,"mir-196b-5p","false","mir-196b-5p","Up"
"mirna",,"mir-193b-3p","false","mir-193b-3p","Up"
"mirna",,"mir-3934-5p","false","mir-3934-5p","Up"
"mirna",,"mir-193b-5p","false","mir-193b-5p","Up"
"mirna",,"mir-224-5p","false","mir-224-5p","Up"
"mirna",,"mir-592","false","mir-592","Up"
"mrna","false","CNTN1","false","CNTN1","Down"
"mrna","false","COL6A1","false","COL6A1","Down"
"mrna","false","COL6A3","false","COL6A3","Down"
"mrna","false","DHCR24","false","DHCR24","Down"
"mrna","false","EXT1","false","EXT1","Up"
"mrna","false","FGF2","false","FGF2","Down"
"mrna","true","IRF4","false","IRF4","Down"
"mrna","false","LIFR","false","LIFR","Down"
"mrna","false","MCL1","false","MCL1","Down"
"mrna","false","NHS","false","NHS","Up"
"mrna","false","PABPC3","false","PABPC3","Down"
"mrna","false","PKIA","false","PKIA","Down"
"mrna","false","PRLR","false","PRLR","Up"
"mrna","false","RAB3B","false","RAB3B","Up"
"mrna","false","S100A4","false","S100A4","Up"
"mrna","true","SKIL","false","SKIL","Down"
"mrna","false","SOD2","false","SOD2","Down"
"mrna","false","TPM1","false","TPM1","Down"
"mrna","false","VEGFA","false","VEGFA","Up"
"mrna","false","CAP1","false","CAP1","Down"
"mrna","false","IGF2BP1","false","IGF2BP1","Up"
"mrna","false","ABHD2","false","ABHD2","Up"
"mrna","false","ADAMTS5","false","ADAMTS5","Down"
"mrna","true","IKZF3","false","IKZF3","Down"
"mrna","false","RHOBTB3","false","RHOBTB3","Down"
"mrna","false","ELL2","false","ELL2","Up"
"mrna","false","SLC44A1","false","SLC44A1","Up"
"mrna","false","TMOD3","false","TMOD3","Up"
"mrna","false","IER5","false","IER5","Up"
"mrna","false","CCDC198","false","CCDC198","Up"
"mrna","false","MAML3","false","MAML3","Up"
"mrna","false","KIAA1549","false","KIAA1549","Up"
"mrna","false","FNDC3B","false","FNDC3B","Up"
"mrna","false","AHNAK","false","AHNAK","Up"
"mrna","false","LPCAT1","false","LPCAT1","Down"
