"info","is_mrna_tf","name","selected","shared name","updown"
"mirna",,"mir-376c-3p","false","mir-376c-3p","Down"
"dummy",,"","false","mir-376c-3p/mir-541-5p","dummy"
"mirna",,"mir-424-5p","false","mir-424-5p","Down"
"dummy",,"","false","mir-424-5p/mir-195-5p","dummy"
"mirna",,"mir-708-5p","false","mir-708-5p","Down"
"dummy",,"","false","mir-708-5p/let-7c-5p","dummy"
"mirna",,"mir-200b-3p","false","mir-200b-3p","Down"
"dummy",,"","false","mir-200b-3p/mir-937-3p","dummy"
"mirna",,"mir-224-5p","false","mir-224-5p","Down"
"dummy",,"","false","mir-224-5p/mir-196a-5p","dummy"
"mirna",,"mir-511-5p","false","mir-511-5p","Down"
"dummy",,"","false","mir-511-5p/mir-1224-3p","dummy"
"mirna",,"mir-32-3p","false","mir-32-3p","Down"
"dummy",,"","false","mir-32-3p/mir-181d-5p","dummy"
"mirna",,"mir-411-3p","false","mir-411-3p","Up"
"dummy",,"","false","mir-411-3p/mir-195-5p","dummy"
"mirna",,"mir-199a-5p","false","mir-199a-5p","Down"
"dummy",,"","false","mir-199a-5p/mir-410-3p","dummy"
"dummy",,"","false","mir-424-5p/mir-410-3p","dummy"
"dummy",,"","false","mir-199a-5p/mir-411-3p","dummy"
"mirna",,"mir-99a-3p","false","mir-99a-3p","Down"
"dummy",,"","false","mir-99a-3p/mir-411-3p","dummy"
"dummy",,"","false","mir-411-3p/mir-424-5p","dummy"
"mirna",,"mir-873-5p","false","mir-873-5p","Up"
"dummy",,"","false","mir-873-5p/mir-494-3p","dummy"
"mirna",,"mir-301b-3p","false","mir-301b-3p","Up"
"dummy",,"","false","mir-301b-3p/mir-32-3p","dummy"
"mirna",,"mir-148a-3p","false","mir-148a-3p","Down"
"dummy",,"","false","mir-148a-3p/mir-182-5p","dummy"
"mirna",,"mir-7-5p","false","mir-7-5p","Up"
"dummy",,"","false","mir-7-5p/mir-138-5p","dummy"
"mirna",,"mir-21-3p","false","mir-21-3p","Down"
"dummy",,"","false","mir-21-3p/mir-182-5p","dummy"
"mirna",,"mir-182-5p","false","mir-182-5p","Down"
"dummy",,"","false","mir-182-5p/mir-96-5p","dummy"
"mirna",,"mir-542-3p","false","mir-542-3p","Down"
"dummy",,"","false","mir-542-3p/mir-181c-5p","dummy"
"mirna",,"mir-323a-5p","false","mir-323a-5p","Up"
"dummy",,"","false","mir-323a-5p/mir-483-5p","dummy"
"dummy",,"","false","mir-873-5p/mir-9-5p","dummy"
"mirna",,"mir-210-3p","false","mir-210-3p","Up"
"dummy",,"","false","mir-210-3p/mir-455-3p","dummy"
"mirna",,"mir-362-5p","false","mir-362-5p","Down"
"dummy",,"","false","mir-362-5p/mir-188-5p","dummy"
"mirna",,"mir-1-3p","false","mir-1-3p","Down"
"dummy",,"","false","mir-1-3p/mir-138-5p","dummy"
"mirna",,"mir-193b-3p","false","mir-193b-3p","Down"
"dummy",,"","false","mir-193b-3p/mir-503-5p","dummy"
"dummy",,"","false","mir-411-3p/mir-106a-5p","dummy"
"mirna",,"mir-1179","false","mir-1179","Up"
"dummy",,"","false","mir-1179/mir-501-3p","dummy"
"mirna",,"mir-452-3p","false","mir-452-3p","Up"
"dummy",,"","false","mir-452-3p/mir-410-3p","dummy"
"mirna",,"mir-204-5p","false","mir-204-5p","Down"
"dummy",,"","false","mir-204-5p/mir-199a-3p","dummy"
"mirna",,"mir-199a-3p","false","mir-199a-3p","Down"
"dummy",,"","false","mir-199a-3p/mir-493-5p","dummy"
"mirna",,"mir-195-5p","false","mir-195-5p","Down"
"dummy",,"","false","mir-195-5p/mir-193b-3p","dummy"
"mirna",,"mir-3187-3p","false","mir-3187-3p","Up"
"dummy",,"","false","mir-3187-3p/mir-96-5p","dummy"
"mirna",,"mir-942-5p","false","mir-942-5p","Down"
"dummy",,"","false","mir-942-5p/mir-7-5p","dummy"
"mirna",,"mir-504-5p","false","mir-504-5p","Up"
"dummy",,"","false","mir-504-5p/mir-497-3p","dummy"
"mirna",,"mir-330-3p","false","mir-330-3p","Up"
"dummy",,"","false","mir-330-3p/mir-335-5p","dummy"
"mirna",,"mir-142-5p","false","mir-142-5p","Down"
"dummy",,"","false","mir-142-5p/mir-135a-5p","dummy"
"mirna",,"mir-222-5p","false","mir-222-5p","Down"
"dummy",,"","false","mir-222-5p/mir-548v","dummy"
"dummy",,"","false","mir-199a-3p/mir-149-5p","dummy"
"mirna",,"mir-149-5p","false","mir-149-5p","Up"
"dummy",,"","false","mir-149-5p/mir-199b-3p","dummy"
"mirna",,"mir-296-3p","false","mir-296-3p","Up"
"dummy",,"","false","mir-296-3p/mir-365a-3p","dummy"
"mirna",,"mir-497-5p","false","mir-497-5p","Down"
"dummy",,"","false","mir-497-5p/mir-20b-5p","dummy"
"mirna",,"mir-106a-5p","false","mir-106a-5p","Down"
"dummy",,"","false","mir-106a-5p/mir-497-5p","dummy"
"mirna",,"mir-148a-5p","false","mir-148a-5p","Down"
"dummy",,"","false","mir-148a-5p/mir-182-5p","dummy"
"mirna",,"mir-335-5p","false","mir-335-5p","Down"
"dummy",,"","false","mir-335-5p/mir-493-3p","dummy"
"mirna",,"mir-34c-5p","false","mir-34c-5p","Up"
"dummy",,"","false","mir-34c-5p/mir-196b-5p","dummy"
"dummy",,"","false","mir-149-5p/mir-143-3p","dummy"
"mirna",,"mir-33a-5p","false","mir-33a-5p","Down"
"dummy",,"","false","mir-33a-5p/mir-106a-5p","dummy"
"dummy",,"","false","mir-193b-3p/mir-143-3p","dummy"
"dummy",,"","false","mir-1179/mir-493-5p","dummy"
"mirna",,"mir-3200-3p","false","mir-3200-3p","Up"
"dummy",,"","false","mir-3200-3p/mir-224-5p","dummy"
"dummy",,"","false","mir-204-5p/mir-195-5p","dummy"
"dummy",,"","false","mir-200b-3p/mir-708-5p","dummy"
"mirna",,"mir-183-5p","false","mir-183-5p","Down"
"dummy",,"","false","mir-183-5p/mir-548b-3p","dummy"
"dummy",,"","false","mir-148a-5p/mir-363-3p","dummy"
"mirna",,"mir-142-3p","false","mir-142-3p","Down"
"dummy",,"","false","mir-142-3p/mir-624-5p","dummy"
"mirna",,"mir-181d-5p","false","mir-181d-5p","Up"
"dummy",,"","false","mir-181d-5p/mir-3065-3p","dummy"
"dummy",,"","false","mir-33a-5p/mir-885-5p","dummy"
"mirna",,"mir-424-3p","false","mir-424-3p","Down"
"dummy",,"","false","mir-424-3p/mir-330-5p","dummy"
"mirna",,"mir-203a-3p","false","mir-203a-3p","Down"
"dummy",,"","false","mir-203a-3p/mir-210-3p","dummy"
"mirna",,"mir-455-5p","false","mir-455-5p","Down"
"dummy",,"","false","mir-455-5p/mir-196a-5p","dummy"
"mirna",,"mir-143-3p","false","mir-143-3p","Up"
"dummy",,"","false","mir-143-3p/mir-195-5p","dummy"
"dummy",,"","false","mir-33a-5p/mir-676-3p","dummy"
"mirna",,"mir-20b-5p","false","mir-20b-5p","Up"
"dummy",,"","false","mir-20b-5p/mir-7-5p","dummy"
"dummy",,"","false","mir-424-5p/mir-665","dummy"
"mirna",,"mir-676-3p","false","mir-676-3p","Down"
"dummy",,"","false","mir-676-3p/mir-450b-5p","dummy"
"mirna",,"mir-7-2-3p","false","mir-7-2-3p","Up"
"dummy",,"","false","mir-7-2-3p/mir-296-5p","dummy"
"dummy",,"","false","mir-511-5p/mir-381-3p","dummy"
"mirna",,"mir-541-5p","false","mir-541-5p","Up"
"mirna",,"let-7c-5p","false","let-7c-5p","Down"
"mirna",,"mir-937-3p","false","mir-937-3p","Up"
"mirna",,"mir-196a-5p","false","mir-196a-5p","Up"
"mirna",,"mir-1224-3p","false","mir-1224-3p","Up"
"mirna",,"mir-410-3p","false","mir-410-3p","Up"
"mirna",,"mir-494-3p","false","mir-494-3p","Down"
"mirna",,"mir-138-5p","false","mir-138-5p","Up"
"mirna",,"mir-96-5p","false","mir-96-5p","Down"
"mirna",,"mir-181c-5p","false","mir-181c-5p","Up"
"mirna",,"mir-483-5p","false","mir-483-5p","Up"
"mirna",,"mir-9-5p","false","mir-9-5p","Up"
"mirna",,"mir-455-3p","false","mir-455-3p","Down"
"mirna",,"mir-188-5p","false","mir-188-5p","Down"
"mirna",,"mir-503-5p","false","mir-503-5p","Down"
"mirna",,"mir-501-3p","false","mir-501-3p","Up"
"mirna",,"mir-493-5p","false","mir-493-5p","Down"
"mirna",,"mir-497-3p","false","mir-497-3p","Down"
"mirna",,"mir-135a-5p","false","mir-135a-5p","Up"
"mirna",,"mir-548v","false","mir-548v","Down"
"mirna",,"mir-199b-3p","false","mir-199b-3p","Down"
"mirna",,"mir-365a-3p","false","mir-365a-3p","Down"
"mirna",,"mir-493-3p","false","mir-493-3p","Down"
"mirna",,"mir-196b-5p","false","mir-196b-5p","Down"
"mirna",,"mir-548b-3p","false","mir-548b-3p","Up"
"mirna",,"mir-363-3p","false","mir-363-3p","Up"
"mirna",,"mir-624-5p","false","mir-624-5p","Up"
"mirna",,"mir-3065-3p","false","mir-3065-3p","Up"
"mirna",,"mir-885-5p","false","mir-885-5p","Up"
"mirna",,"mir-330-5p","false","mir-330-5p","Up"
"mirna",,"mir-665","false","mir-665","Down"
"mirna",,"mir-450b-5p","false","mir-450b-5p","Down"
"mirna",,"mir-296-5p","false","mir-296-5p","Up"
"mirna",,"mir-381-3p","false","mir-381-3p","Down"
"mrna","false","CCND2","false","CCND2","Down"
"mrna","false","CKB","false","CKB","Down"
"mrna","false","DYNC1LI2","false","DYNC1LI2","Up"
"mrna","false","DUSP1","false","DUSP1","Down"
"mrna","true","E2F2","false","E2F2","Up"
"mrna","false","ELAVL3","false","ELAVL3","Up"
"mrna","false","GCNT2","false","GCNT2","Up"
"mrna","false","GSK3B","false","GSK3B","Down"
"mrna","true","HOXA10","false","HOXA10","Down"
"mrna","false","HSPA8","false","HSPA8","Up"
"mrna","false","ITGB8","false","ITGB8","Up"
"mrna","true","MYC","false","MYC","Down"
"mrna","false","NCAM2","false","NCAM2","Up"
"mrna","false","NEO1","false","NEO1","Up"
"mrna","true","NFIX","false","NFIX","Down"
"mrna","false","NOTCH2","false","NOTCH2","Down"
"mrna","false","NPTX1","false","NPTX1","Down"
"mrna","false","PAWR","false","PAWR","Down"
"mrna","false","PFN2","false","PFN2","Up"
"mrna","true","PLAG1","false","PLAG1","Up"
"mrna","false","PMAIP1","false","PMAIP1","Up"
"mrna","false","PTPRK","false","PTPRK","Up"
"mrna","false","RAB3B","false","RAB3B","Up"
"mrna","false","SCD","false","SCD","Down"
"mrna","true","SOX5","false","SOX5","Up"
"mrna","false","SSTR2","false","SSTR2","Up"
"mrna","false","TOP2A","false","TOP2A","Up"
"mrna","true","NR2C2","false","NR2C2","Up"
"mrna","false","VEGFA","false","VEGFA","Down"
"mrna","false","ST8SIA4","false","ST8SIA4","Up"
"mrna","false","CDK5R1","false","CDK5R1","Up"
"mrna","false","SGPL1","false","SGPL1","Up"
"mrna","false","XPR1","false","XPR1","Up"
"mrna","false","EPM2AIP1","false","EPM2AIP1","Up"
"mrna","false","TOB1","false","TOB1","Down"
"mrna","false","AKAP11","false","AKAP11","Up"
"mrna","false","DKK1","false","DKK1","Down"
"mrna","false","PEG10","false","PEG10","Down"
"mrna","false","SIPA1L3","false","SIPA1L3","Up"
"mrna","false","WWC1","false","WWC1","Down"
"mrna","false","TENM4","false","TENM4","Down"
"mrna","false","FBXL3","false","FBXL3","Down"
"mrna","false","PSAT1","false","PSAT1","Down"
"mrna","false","ANLN","false","ANLN","Up"
"mrna","false","TENT5A","false","TENT5A","Up"
"mrna","false","PAG1","false","PAG1","Up"
"mrna","true","ASH1L","false","ASH1L","Up"
"mrna","false","PCDH10","false","PCDH10","Up"
"mrna","false","CDCP1","false","CDCP1","Up"
"mrna","false","AHNAK","false","AHNAK","Down"
"mrna","false","PHC3","false","PHC3","Down"
"mrna","false","RAB11FIP1","false","RAB11FIP1","Down"
"mrna","true","ARID5B","false","ARID5B","Down"
"mrna","false","MFSD9","false","MFSD9","Up"
"mrna","false","KRT80","false","KRT80","Down"
"mrna","false","PPM1L","false","PPM1L","Up"
"mrna","false","AMOT","false","AMOT","Up"
"mrna","false","SPATA13","false","SPATA13","Down"
"mrna","true","ZBTB38","false","ZBTB38","Down"
