"info","is_mrna_tf","name","selected","shared.name","updown"
"mirna",,"mir-30b-5p","false","mir-30b-5p","mirna"
"dummy",,"","false","mir-30b-5p/mir-494-3p","dummy"
"dummy",,"","false","mir-30b-5p/mir-548f-3p","dummy"
"mirna",,"mir-33a-5p","false","mir-33a-5p","mirna"
"dummy",,"","false","mir-33a-5p/mir-455-3p","dummy"
"mirna",,"mir-1228-3p","false","mir-1228-3p","mirna"
"dummy",,"","false","mir-1228-3p/mir-424-5p","dummy"
"mirna",,"mir-224-5p","false","mir-224-5p","mirna"
"dummy",,"","false","mir-224-5p/mir-196b-5p","dummy"
"mirna",,"mir-136-5p","false","mir-136-5p","mirna"
"dummy",,"","false","mir-136-5p/mir-424-5p","dummy"
"dummy",,"","false","mir-224-5p/mir-424-5p","dummy"
"mirna",,"mir-32-3p","false","mir-32-3p","mirna"
"dummy",,"","false","mir-32-3p/mir-20b-5p","dummy"
"mirna",,"mir-877-5p","false","mir-877-5p","mirna"
"dummy",,"","false","mir-877-5p/mir-136-5p","dummy"
"mirna",,"mir-181d-5p","false","mir-181d-5p","mirna"
"dummy",,"","false","mir-181d-5p/mir-215-5p","dummy"
"mirna",,"mir-424-5p","false","mir-424-5p","mirna"
"dummy",,"","false","mir-424-5p/mir-1-3p","dummy"
"mirna",,"mir-767-5p","false","mir-767-5p","mirna"
"dummy",,"","false","mir-767-5p/mir-135b-3p","dummy"
"mirna",,"mir-1270","false","mir-1270","mirna"
"dummy",,"","false","mir-1270/mir-877-5p","dummy"
"mirna",,"mir-455-3p","false","mir-455-3p","mirna"
"dummy",,"","false","mir-455-3p/mir-424-5p","dummy"
"mirna",,"mir-23b-5p","false","mir-23b-5p","mirna"
"dummy",,"","false","mir-23b-5p/mir-485-5p","dummy"
"mirna",,"let-7c-5p","false","let-7c-5p","mirna"
"dummy",,"","false","let-7c-5p/mir-196a-5p","dummy"
"mirna",,"mir-153-3p","false","mir-153-3p","mirna"
"dummy",,"","false","mir-153-3p/mir-196a-5p","dummy"
"mirna",,"mir-942-5p","false","mir-942-5p","mirna"
"dummy",,"","false","mir-942-5p/mir-129-5p","dummy"
"mirna",,"mir-760","false","mir-760","mirna"
"dummy",,"","false","mir-760/mir-548e-3p","dummy"
"mirna",,"mir-18b-5p","false","mir-18b-5p","mirna"
"dummy",,"","false","mir-18b-5p/mir-30b-5p","dummy"
"dummy",,"","false","mir-30b-5p/mir-9-3p","dummy"
"mirna",,"mir-301a-3p","false","mir-301a-3p","mirna"
"dummy",,"","false","mir-301a-3p/mir-301b-3p","dummy"
"mirna",,"mir-937-3p","false","mir-937-3p","mirna"
"dummy",,"","false","mir-937-3p/mir-548f-3p","dummy"
"mirna",,"mir-550a-3p","false","mir-550a-3p","mirna"
"dummy",,"","false","mir-550a-3p/mir-455-3p","dummy"
"mirna",,"mir-210-3p","false","mir-210-3p","mirna"
"dummy",,"","false","mir-210-3p/mir-455-3p","dummy"
"mirna",,"mir-34a-3p","false","mir-34a-3p","mirna"
"dummy",,"","false","mir-34a-3p/mir-320c","dummy"
"mirna",,"mir-20b-5p","false","mir-20b-5p","mirna"
"dummy",,"","false","mir-20b-5p/mir-345-5p","dummy"
"mirna",,"mir-31-5p","false","mir-31-5p","mirna"
"dummy",,"","false","mir-31-5p/let-7f-2-3p","dummy"
"mirna",,"let-7g-3p","false","let-7g-3p","mirna"
"dummy",,"","false","let-7g-3p/mir-33a-5p","dummy"
"mirna",,"mir-365a-5p","false","mir-365a-5p","mirna"
"dummy",,"","false","mir-365a-5p/mir-455-3p","dummy"
"mirna",,"mir-215-5p","false","mir-215-5p","mirna"
"dummy",,"","false","mir-215-5p/mir-877-3p","dummy"
"mirna",,"mir-150-3p","false","mir-150-3p","mirna"
"dummy",,"","false","mir-150-3p/mir-663a","dummy"
"mirna",,"mir-1266-5p","false","mir-1266-5p","mirna"
"dummy",,"","false","mir-1266-5p/mir-125a-3p","dummy"
"mirna",,"mir-129-5p","false","mir-129-5p","mirna"
"dummy",,"","false","mir-129-5p/mir-769-3p","dummy"
"mirna",,"mir-203a-3p","false","mir-203a-3p","mirna"
"dummy",,"","false","mir-203a-3p/mir-19a-3p","dummy"
"mirna",,"mir-651-5p","false","mir-651-5p","mirna"
"dummy",,"","false","mir-651-5p/mir-455-3p","dummy"
"dummy",,"","false","mir-181d-5p/mir-642a-5p","dummy"
"dummy",,"","false","mir-424-5p/mir-940","dummy"
"mirna",,"mir-224-3p","false","mir-224-3p","mirna"
"dummy",,"","false","mir-224-3p/mir-424-5p","dummy"
"mirna",,"mir-16-1-3p","false","mir-16-1-3p","mirna"
"dummy",,"","false","mir-16-1-3p/mir-301b-3p","dummy"
"mirna",,"mir-545-5p","false","mir-545-5p","mirna"
"dummy",,"","false","mir-545-5p/mir-105-5p","dummy"
"dummy",,"","false","mir-33a-5p/mir-33b-5p","dummy"
"mirna",,"mir-135b-5p","false","mir-135b-5p","mirna"
"dummy",,"","false","mir-135b-5p/mir-18a-3p","dummy"
"dummy",,"","false","mir-135b-5p/mir-589-3p","dummy"
"dummy",,"","false","mir-31-5p/mir-1288-3p","dummy"
"mirna",,"mir-552-3p","false","mir-552-3p","mirna"
"dummy",,"","false","mir-552-3p/mir-125a-3p","dummy"
"dummy",,"","false","mir-424-5p/mir-625-5p","dummy"
"dummy",,"","false","mir-31-5p/mir-877-3p","dummy"
"dummy",,"","false","mir-20b-5p/let-7c-5p","dummy"
"mirna",,"mir-149-5p","false","mir-149-5p","mirna"
"dummy",,"","false","mir-149-5p/mir-144-3p","dummy"
"mirna",,"mir-144-5p","false","mir-144-5p","mirna"
"dummy",,"","false","mir-144-5p/mir-144-3p","dummy"
"mirna",,"mir-30c-1-3p","false","mir-30c-1-3p","mirna"
"dummy",,"","false","mir-30c-1-3p/mir-181d-5p","dummy"
"mirna",,"mir-605-5p","false","mir-605-5p","mirna"
"dummy",,"","false","mir-605-5p/mir-455-3p","dummy"
"dummy",,"","false","mir-760/mir-629-3p","dummy"
"mirna",,"mir-1226-3p","false","mir-1226-3p","mirna"
"dummy",,"","false","mir-1226-3p/mir-629-3p","dummy"
"dummy",,"","false","mir-203a-3p/mir-1227-3p","dummy"
"dummy",,"","false","mir-203a-3p/mir-877-5p","dummy"
"dummy",,"","false","mir-424-5p/let-7g-3p","dummy"
"dummy",,"","false","mir-1226-3p/mir-1227-3p","dummy"
"dummy",,"","false","mir-203a-3p/mir-1226-3p","dummy"
"dummy",,"","false","mir-203a-3p/mir-33b-5p","dummy"
"mirna",,"mir-744-3p","false","mir-744-3p","mirna"
"dummy",,"","false","mir-744-3p/mir-1-3p","dummy"
"mirna",,"mir-1276","false","mir-1276","mirna"
"dummy",,"","false","mir-1276/mir-301b-3p","dummy"
"mirna",,"mir-376b-3p","false","mir-376b-3p","mirna"
"dummy",,"","false","mir-376b-3p/mir-455-3p","dummy"
"mirna",,"mir-1-3p","false","mir-1-3p","mirna"
"dummy",,"","false","mir-1-3p/mir-362-5p","dummy"
"mirna",,"mir-125b-5p","false","mir-125b-5p","mirna"
"dummy",,"","false","mir-125b-5p/mir-580-3p","dummy"
"dummy",,"","false","mir-181d-5p/mir-33a-3p","dummy"
"mirna",,"mir-196b-5p","false","mir-196b-5p","mirna"
"dummy",,"","false","mir-196b-5p/let-7g-3p","dummy"
"dummy",,"","false","mir-424-5p/mir-215-5p","dummy"
"dummy",,"","false","mir-210-3p/mir-19a-3p","dummy"
"mirna",,"mir-501-5p","false","mir-501-5p","mirna"
"dummy",,"","false","mir-501-5p/mir-362-5p","dummy"
"mirna",,"mir-877-3p","false","mir-877-3p","mirna"
"dummy",,"","false","mir-877-3p/mir-196b-5p","dummy"
"dummy",,"","false","mir-196b-5p/mir-301a-3p","dummy"
"mirna",,"mir-19a-3p","false","mir-19a-3p","mirna"
"dummy",,"","false","mir-19a-3p/mir-301a-3p","dummy"
"dummy",,"","false","mir-23b-5p/mir-663a","dummy"
"dummy",,"","false","mir-16-1-3p/mir-642a-5p","dummy"
"mirna",,"mir-1288-3p","false","mir-1288-3p","mirna"
"dummy",,"","false","mir-1288-3p/mir-501-5p","dummy"
"mirna",,"mir-7-5p","false","mir-7-5p","mirna"
"dummy",,"","false","mir-7-5p/mir-33a-5p","dummy"
"mirna",,"mir-494-3p","false","mir-494-3p","mirna"
"mirna",,"mir-548f-3p","false","mir-548f-3p","mirna"
"mirna",,"mir-135b-3p","false","mir-135b-3p","mirna"
"mirna",,"mir-485-5p","false","mir-485-5p","mirna"
"mirna",,"mir-196a-5p","false","mir-196a-5p","mirna"
"mirna",,"mir-548e-3p","false","mir-548e-3p","mirna"
"mirna",,"mir-9-3p","false","mir-9-3p","mirna"
"mirna",,"mir-301b-3p","false","mir-301b-3p","mirna"
"mirna",,"mir-320c","false","mir-320c","mirna"
"mirna",,"mir-345-5p","false","mir-345-5p","mirna"
"mirna",,"let-7f-2-3p","false","let-7f-2-3p","mirna"
"mirna",,"mir-663a","false","mir-663a","mirna"
"mirna",,"mir-125a-3p","false","mir-125a-3p","mirna"
"mirna",,"mir-769-3p","false","mir-769-3p","mirna"
"mirna",,"mir-642a-5p","false","mir-642a-5p","mirna"
"mirna",,"mir-940","false","mir-940","mirna"
"mirna",,"mir-105-5p","false","mir-105-5p","mirna"
"mirna",,"mir-33b-5p","false","mir-33b-5p","mirna"
"mirna",,"mir-18a-3p","false","mir-18a-3p","mirna"
"mirna",,"mir-589-3p","false","mir-589-3p","mirna"
"mirna",,"mir-625-5p","false","mir-625-5p","mirna"
"mirna",,"mir-144-3p","false","mir-144-3p","mirna"
"mirna",,"mir-629-3p","false","mir-629-3p","mirna"
"mirna",,"mir-1227-3p","false","mir-1227-3p","mirna"
"mirna",,"mir-362-5p","false","mir-362-5p","mirna"
"mirna",,"mir-580-3p","false","mir-580-3p","mirna"
