"info","is_mrna_tf","name","selected","shared name","updown"
"mirna",,"mir-149-5p","false","mir-149-5p","Up"
"dummy",,"","false","mir-149-5p/mir-576-5p","dummy"
"mirna",,"mir-652-3p","false","mir-652-3p","Up"
"dummy",,"","false","mir-652-3p/mir-455-3p","dummy"
"mirna",,"mir-342-3p","false","mir-342-3p","Down"
"dummy",,"","false","mir-342-3p/mir-1226-3p","dummy"
"mirna",,"mir-125b-5p","false","mir-125b-5p","Down"
"dummy",,"","false","mir-125b-5p/mir-409-3p","dummy"
"mirna",,"mir-324-5p","false","mir-324-5p","Up"
"dummy",,"","false","mir-324-5p/let-7g-3p","dummy"
"mirna",,"mir-507","false","mir-507","Up"
"dummy",,"","false","mir-507/let-7g-3p","dummy"
"mirna",,"mir-34a-5p","false","mir-34a-5p","Up"
"dummy",,"","false","mir-34a-5p/let-7g-3p","dummy"
"mirna",,"mir-33a-5p","false","mir-33a-5p","Down"
"dummy",,"","false","mir-33a-5p/mir-324-5p","dummy"
"mirna",,"mir-582-5p","false","mir-582-5p","Down"
"dummy",,"","false","mir-582-5p/let-7c-5p","dummy"
"mirna",,"mir-200b-3p","false","mir-200b-3p","Down"
"dummy",,"","false","mir-200b-3p/mir-335-5p","dummy"
"mirna",,"mir-181d-5p","false","mir-181d-5p","Down"
"dummy",,"","false","mir-181d-5p/let-7a-3p","dummy"
"mirna",,"mir-27b-5p","false","mir-27b-5p","Up"
"dummy",,"","false","mir-27b-5p/mir-410-3p","dummy"
"mirna",,"mir-145-5p","false","mir-145-5p","Down"
"dummy",,"","false","mir-145-5p/mir-181c-5p","dummy"
"dummy",,"","false","mir-582-5p/mir-590-3p","dummy"
"mirna",,"mir-431-5p","false","mir-431-5p","Up"
"dummy",,"","false","mir-431-5p/mir-582-5p","dummy"
"mirna",,"mir-340-5p","false","mir-340-5p","Up"
"dummy",,"","false","mir-340-5p/mir-30c-2-3p","dummy"
"mirna",,"mir-19a-3p","false","mir-19a-3p","Down"
"dummy",,"","false","mir-19a-3p/mir-193b-3p","dummy"
"mirna",,"mir-653-5p","false","mir-653-5p","Up"
"dummy",,"","false","mir-653-5p/mir-497-5p","dummy"
"mirna",,"mir-296-5p","false","mir-296-5p","Up"
"dummy",,"","false","mir-296-5p/mir-940","dummy"
"mirna",,"mir-155-5p","false","mir-155-5p","Down"
"dummy",,"","false","mir-155-5p/mir-143-3p","dummy"
