"info","is_mrna_tf","name","selected","shared name","updown"
"mrna","true","ZBTB8B","false","ZBTB8B","down"
"mrna","false","SAMD12","false","SAMD12","down"
"mrna","true","ZNF621","false","ZNF621","down"
"mrna","false","BTLA","false","BTLA","up"
"mrna","false","SIK1","false","SIK1","down"
"mrna","false","SLC24A4","false","SLC24A4","up"
"mrna","false","RAB3IP","false","RAB3IP","down"
"mrna","false","UBASH3B","false","UBASH3B","up"
"mrna","false","CPEB4","false","CPEB4","down"
"mrna","false","GNPNAT1","false","GNPNAT1","down"
"mrna","false","ZMAT3","false","ZMAT3","down"
"mrna","false","SEMA4C","false","SEMA4C","up"
"mrna","true","CASZ1","false","CASZ1","down"
"mrna","false","ESRP1","false","ESRP1","down"
"mrna","true","BCL11A","false","BCL11A","up"
"mrna","false","SUCO","false","SUCO","down"
"mrna","false","TMEM245","false","TMEM245","down"
"mrna","false","SLC19A2","false","SLC19A2","down"
"mrna","false","ALDH1A2","false","ALDH1A2","down"
"mrna","false","ULK1","false","ULK1","up"
"mrna","true","ZNF711","false","ZNF711","down"
"mrna","false","PAPPA","false","PAPPA","down"
"mrna","true","MITF","false","MITF","down"
"mrna","false","LDLR","false","LDLR","down"
"mrna","false","ITPR1","false","ITPR1","down"
"mrna","false","CCN1","false","CCN1","down"
"mrna","false","IGFBP3","false","IGFBP3","up"
"mrna","false","IGF1R","false","IGF1R","down"
"mrna","false","GPM6B","false","GPM6B","down"
"mrna","false","GALNT3","false","GALNT3","down"
"mrna","false","CDH1","false","CDH1","down"
"mirna",,"mir-214-3p","false","mir-214-3p","down"
"mirna",,"mir-381-3p","false","mir-381-3p","down"
"mirna",,"mir-134-5p","false","mir-134-5p","down"
"mirna",,"mir-493-5p","false","mir-493-5p","down"
"mirna",,"mir-455-3p","false","mir-455-3p","up"
"mirna",,"mir-616-5p","false","mir-616-5p","up"
"mirna",,"mir-326","false","mir-326","up"
"mirna",,"mir-182-5p","false","mir-182-5p","down"
"mirna",,"mir-122-5p","false","mir-122-5p","up"
"mirna",,"mir-362-3p","false","mir-362-3p","down"
"mirna",,"mir-3065-3p","false","mir-3065-3p","down"
"mirna",,"mir-450b-5p","false","mir-450b-5p","up"
"mirna",,"mir-452-3p","false","mir-452-3p","up"
"mirna",,"mir-150-5p","false","mir-150-5p","up"
"mirna",,"mir-589-3p","false","mir-589-3p","up"
"mirna",,"mir-616-3p","false","mir-616-3p","up"
"mirna",,"mir-26a-1-3p","false","mir-26a-1-3p","down"
"mirna",,"mir-224-5p","false","mir-224-5p","up"
"dummy",,"","false","mir-192-5p/mir-214-3p","dummy"
"dummy",,"","false","mir-194-3p/mir-192-5p","dummy"
"mirna",,"mir-194-3p","false","mir-194-3p","down"
"dummy",,"","false","mir-539-5p/mir-381-3p","dummy"
"mirna",,"mir-539-5p","false","mir-539-5p","down"
"dummy",,"","false","mir-452-5p/mir-134-5p","dummy"
"dummy",,"","false","mir-143-5p/mir-455-3p","dummy"
"mirna",,"mir-143-5p","false","mir-143-5p","up"
"dummy",,"","false","mir-629-3p/mir-616-3p","dummy"
"mirna",,"mir-629-3p","false","mir-629-3p","up"
"dummy",,"","false","mir-183-5p/mir-455-3p","dummy"
"mirna",,"mir-183-5p","false","mir-183-5p","down"
"dummy",,"","false","mir-142-3p/mir-493-5p","dummy"
"mirna",,"mir-142-3p","false","mir-142-3p","up"
"dummy",,"","false","let-7f-5p/mir-192-5p","dummy"
"mirna",,"let-7f-5p","false","let-7f-5p","down"
"dummy",,"","false","mir-181d-5p/mir-155-5p","dummy"
"mirna",,"mir-181d-5p","false","mir-181d-5p","up"
"dummy",,"","false","mir-155-5p/mir-455-3p","dummy"
"dummy",,"","false","mir-340-5p/mir-616-5p","dummy"
"dummy",,"","false","mir-222-5p/mir-362-3p","dummy"
"mirna",,"mir-222-5p","false","mir-222-5p","up"
"dummy",,"","false","mir-100-5p/mir-326","dummy"
"dummy",,"","false","mir-18a-5p/mir-223-5p","dummy"
"mirna",,"mir-18a-5p","false","mir-18a-5p","up"
"dummy",,"","false","mir-199a-3p/mir-182-5p","dummy"
"mirna",,"mir-199a-3p","false","mir-199a-3p","down"
"dummy",,"","false","mir-142-5p/mir-194-3p","dummy"
"mirna",,"mir-142-5p","false","mir-142-5p","up"
"dummy",,"","false","mir-424-5p/mir-340-5p","dummy"
"mirna",,"mir-424-5p","false","mir-424-5p","down"
"dummy",,"","false","mir-215-5p/mir-122-5p","dummy"
"mirna",,"mir-215-5p","false","mir-215-5p","up"
"dummy",,"","false","mir-146b-5p/mir-192-5p","dummy"
"dummy",,"","false","mir-192-5p/mir-122-5p","dummy"
"mirna",,"mir-192-5p","false","mir-192-5p","up"
"dummy",,"","false","mir-155-5p/mir-362-3p","dummy"
"dummy",,"","false","mir-146b-5p/mir-3065-3p","dummy"
"mirna",,"mir-146b-5p","false","mir-146b-5p","up"
"dummy",,"","false","mir-141-5p/mir-450b-5p","dummy"
"dummy",,"","false","mir-141-5p/mir-629-3p","dummy"
"mirna",,"mir-141-5p","false","mir-141-5p","down"
"dummy",,"","false","mir-100-5p/mir-452-5p","dummy"
"mirna",,"mir-100-5p","false","mir-100-5p","down"
"dummy",,"","false","mir-340-5p/mir-155-5p","dummy"
"dummy",,"","false","mir-223-5p/mir-452-3p","dummy"
"mirna",,"mir-223-5p","false","mir-223-5p","up"
"dummy",,"","false","mir-204-5p/mir-150-5p","dummy"
"mirna",,"mir-204-5p","false","mir-204-5p","down"
"dummy",,"","false","mir-340-5p/mir-589-3p","dummy"
"dummy",,"","false","mir-155-5p/mir-616-3p","dummy"
"mirna",,"mir-155-5p","false","mir-155-5p","up"
"dummy",,"","false","mir-511-5p/mir-26a-1-3p","dummy"
"mirna",,"mir-511-5p","false","mir-511-5p","down"
"dummy",,"","false","mir-340-5p/mir-224-5p","dummy"
"dummy",,"","false","mir-452-5p/mir-340-5p","dummy"
"mirna",,"mir-452-5p","false","mir-452-5p","up"
"dummy",,"","false","mir-146a-5p/mir-629-3p","dummy"
"mirna",,"mir-146a-5p","false","mir-146a-5p","up"
"dummy",,"","false","mir-340-5p/mir-629-3p","dummy"
"mirna",,"mir-340-5p","false","mir-340-5p","up"
"dummy",,"","false","mir-34c-5p/mir-629-3p","dummy"
"mirna",,"mir-34c-5p","false","mir-34c-5p","up"
