"info","is_mrna_tf","name","selected","shared name","updown"
"mrna","false","TMEM178B","false","TMEM178B","Down"
"mrna","false","ERVMER34-1","false","ERVMER34-1","Up"
"mrna","false","PCP4L1","false","PCP4L1","Down"
"mrna","false","ANKRD33B","false","ANKRD33B","Down"
"mrna","false","RNF165","false","RNF165","Up"
"mrna","false","PALM2AKAP2","false","PALM2AKAP2","Up"
"mrna","false","C10orf105","false","C10orf105","Up"
"mrna","false","NOMO3","false","NOMO3","Down"
"mrna","false","CTXN1","false","CTXN1","Down"
"mrna","false","SAMD12","false","SAMD12","Down"
"mrna","false","FAM102A","false","FAM102A","Down"
"mrna","true","ZNF699","false","ZNF699","Up"
"mrna","false","GLDN","false","GLDN","Up"
"mrna","false","NAT8L","false","NAT8L","Down"
"mrna","true","ZNF678","false","ZNF678","Up"
"mrna","false","SH3PXD2B","false","SH3PXD2B","Up"
"mrna","false","ZADH2","false","ZADH2","Down"
"mrna","false","HECTD4","false","HECTD4","Up"
"mrna","false","ADGRD1","false","ADGRD1","Down"
"mrna","false","PGM2L1","false","PGM2L1","Up"
"mrna","false","NEGR1","false","NEGR1","Down"
"mrna","false","RNF169","false","RNF169","Up"
"mrna","false","FBXO33","false","FBXO33","Down"
"mrna","false","RICTOR","false","RICTOR","Up"
"mrna","false","PRR15","false","PRR15","Down"
"mrna","false","C2orf69","false","C2orf69","Down"
"mrna","true","GLIS3","false","GLIS3","Down"
"mrna","false","BMPER","false","BMPER","Up"
"mrna","false","CCDC71L","false","CCDC71L","Up"
"mrna","false","PRICKLE2","false","PRICKLE2","Down"
"mrna","false","PARP15","false","PARP15","Up"
"mrna","false","IFNLR1","false","IFNLR1","Up"
"mrna","false","TMEM30B","false","TMEM30B","Down"
"mrna","false","DGKH","false","DGKH","Up"
"mrna","false","PPTC7","false","PPTC7","Down"
"mrna","false","PRUNE2","false","PRUNE2","Down"
"mrna","false","AMOTL1","false","AMOTL1","Down"
"mrna","true","ZNF827","false","ZNF827","Down"
"mrna","false","LRATD1","false","LRATD1","Down"
"mrna","true","TCF23","false","TCF23","Up"
"mrna","true","E2F7","false","E2F7","Up"
"mrna","false","ARHGAP42","false","ARHGAP42","Up"
"mrna","false","NOL4L","false","NOL4L","Down"
"mrna","false","AMER1","false","AMER1","Up"
"mrna","false","SLITRK4","false","SLITRK4","Down"
"mrna","false","PM20D2","false","PM20D2","Down"
"mrna","false","STARD4","false","STARD4","Up"
"mrna","false","CPEB2","false","CPEB2","Down"
"mrna","false","OCIAD2","false","OCIAD2","Down"
"mrna","false","UHMK1","false","UHMK1","Down"
"mrna","false","FRMD6","false","FRMD6","Up"
"mrna","false","RAB3IP","false","RAB3IP","Down"
"mrna","false","RAB3C","false","RAB3C","Down"
"mrna","false","TMEM132B","false","TMEM132B","Up"
"mrna","false","EGLN3","false","EGLN3","Down"
"mrna","true","FOXP2","false","FOXP2","Down"
"mrna","false","MYLK3","false","MYLK3","Down"
"mrna","false","ZNF804A","false","ZNF804A","Down"
"mrna","false","NAV2","false","NAV2","Up"
"mrna","false","TNKS1BP1","false","TNKS1BP1","Up"
"mrna","true","ZFHX2","false","ZFHX2","Down"
"mrna","false","ZCCHC3","false","ZCCHC3","Up"
"mrna","false","CGNL1","false","CGNL1","Down"
"mrna","false","MAP3K21","false","MAP3K21","Up"
"mrna","true","ARID5B","false","ARID5B","Down"
"mrna","false","BRIP1","false","BRIP1","Up"
"mrna","false","RASSF5","false","RASSF5","Up"
"mrna","false","SPRY4","false","SPRY4","Up"
"mrna","false","SLCO5A1","false","SLCO5A1","Up"
"mrna","false","SLC38A1","false","SLC38A1","Down"
"mrna","false","APOL6","false","APOL6","Up"
"mrna","false","RNF39","false","RNF39","Up"
"mrna","false","PDGFD","false","PDGFD","Down"
"mrna","false","PGGHG","false","PGGHG","Up"
