"info","is_mrna_tf","name","selected","shared name","updown"
"mirna",,"mir-15b-3p","false","mir-15b-3p","Up"
"dummy",,"","false","mir-15b-3p/mir-215-5p","dummy"
"dummy",,"","false","mir-15b-3p/mir-9-5p","dummy"
"mirna",,"mir-141-5p","false","mir-141-5p","Up"
"dummy",,"","false","mir-141-5p/mir-363-3p","dummy"
"mirna",,"mir-363-3p","false","mir-363-3p","Down"
"dummy",,"","false","mir-363-3p/mir-654-3p","dummy"
"mirna",,"mir-570-3p","false","mir-570-3p","Up"
"dummy",,"","false","mir-570-3p/mir-135a-5p","dummy"
"mirna",,"mir-212-3p","false","mir-212-3p","Down"
"dummy",,"","false","mir-212-3p/mir-493-5p","dummy"
"mirna",,"mir-204-5p","false","mir-204-5p","Down"
"dummy",,"","false","mir-204-5p/mir-20b-5p","dummy"
"mirna",,"mir-511-5p","false","mir-511-5p","Down"
"dummy",,"","false","mir-511-5p/mir-193b-3p","dummy"
"mirna",,"mir-335-5p","false","mir-335-5p","Down"
"dummy",,"","false","mir-335-5p/mir-34a-5p","dummy"
"mirna",,"mir-424-5p","false","mir-424-5p","Up"
"dummy",,"","false","mir-424-5p/mir-376c-3p","dummy"
"mirna",,"mir-34a-5p","false","mir-34a-5p","Up"
"dummy",,"","false","mir-34a-5p/mir-181d-5p","dummy"
"dummy",,"","false","mir-204-5p/mir-2355-3p","dummy"
"dummy",,"","false","mir-424-5p/mir-410-3p","dummy"
"mirna",,"mir-136-5p","false","mir-136-5p","Down"
"dummy",,"","false","mir-136-5p/mir-501-5p","dummy"
"mirna",,"mir-20b-5p","false","mir-20b-5p","Down"
"dummy",,"","false","mir-20b-5p/mir-214-5p","dummy"
"mirna",,"mir-3065-3p","false","mir-3065-3p","Down"
"dummy",,"","false","mir-3065-3p/mir-34a-5p","dummy"
"dummy",,"","false","mir-34a-5p/mir-181c-3p","dummy"
"mirna",,"mir-2110","false","mir-2110","Up"
"dummy",,"","false","mir-2110/mir-34a-5p","dummy"
"dummy",,"","false","mir-204-5p/mir-34a-5p","dummy"
"mirna",,"mir-223-3p","false","mir-223-3p","Down"
"dummy",,"","false","mir-223-3p/mir-9-5p","dummy"
"mirna",,"mir-21-5p","false","mir-21-5p","Up"
"dummy",,"","false","mir-21-5p/mir-511-5p","dummy"
"mirna",,"mir-501-5p","false","mir-501-5p","Down"
"dummy",,"","false","mir-501-5p/mir-892a","dummy"
"mirna",,"mir-106a-5p","false","mir-106a-5p","Down"
"dummy",,"","false","mir-106a-5p/mir-34a-5p","dummy"
"dummy",,"","false","mir-570-3p/mir-141-5p","dummy"
"mirna",,"mir-379-5p","false","mir-379-5p","Down"
"dummy",,"","false","mir-379-5p/mir-146a-5p","dummy"
"dummy",,"","false","mir-511-5p/mir-379-5p","dummy"
"mirna",,"mir-214-3p","false","mir-214-3p","Down"
"dummy",,"","false","mir-214-3p/mir-223-3p","dummy"
"mirna",,"mir-409-5p","false","mir-409-5p","Down"
"dummy",,"","false","mir-409-5p/mir-362-3p","dummy"
"mirna",,"mir-33a-5p","false","mir-33a-5p","Up"
"dummy",,"","false","mir-33a-5p/mir-149-5p","dummy"
"mirna",,"mir-502-5p","false","mir-502-5p","Down"
"dummy",,"","false","mir-502-5p/mir-203a-3p","dummy"
"dummy",,"","false","mir-204-5p/mir-106a-5p","dummy"
"dummy",,"","false","mir-106a-5p/mir-20b-5p","dummy"
"dummy",,"","false","mir-501-5p/mir-502-5p","dummy"
"mirna",,"mir-654-3p","false","mir-654-3p","Down"
"dummy",,"","false","mir-654-3p/mir-106a-5p","dummy"
"dummy",,"","false","mir-34a-5p/mir-369-3p","dummy"
"dummy",,"","false","mir-363-3p/mir-501-5p","dummy"
"dummy",,"","false","mir-363-3p/mir-204-5p","dummy"
"mirna",,"mir-592","false","mir-592","Up"
"dummy",,"","false","mir-592/mir-501-5p","dummy"
"dummy",,"","false","mir-592/mir-204-5p","dummy"
"mirna",,"mir-155-5p","false","mir-155-5p","Up"
"dummy",,"","false","mir-155-5p/mir-21-5p","dummy"
"mirna",,"mir-142-3p","false","mir-142-3p","Up"
"dummy",,"","false","mir-142-3p/mir-212-3p","dummy"
"dummy",,"","false","mir-142-3p/mir-940","dummy"
"mirna",,"mir-196a-5p","false","mir-196a-5p","Down"
"dummy",,"","false","mir-196a-5p/mir-676-3p","dummy"
"dummy",,"","false","mir-136-5p/mir-20b-3p","dummy"
"mirna",,"mir-181c-3p","false","mir-181c-3p","Down"
"dummy",,"","false","mir-181c-3p/mir-20b-3p","dummy"
"mirna",,"mir-3199","false","mir-3199","Down"
"dummy",,"","false","mir-3199/mir-296-5p","dummy"
"dummy",,"","false","mir-204-5p/mir-501-3p","dummy"
"mirna",,"mir-615-3p","false","mir-615-3p","Down"
"dummy",,"","false","mir-615-3p/mir-214-3p","dummy"
"dummy",,"","false","mir-570-3p/mir-31-5p","dummy"
"dummy",,"","false","mir-20b-5p/mir-34a-5p","dummy"
"mirna",,"mir-335-3p","false","mir-335-3p","Down"
"dummy",,"","false","mir-335-3p/mir-204-5p","dummy"
"dummy",,"","false","mir-335-5p/mir-204-5p","dummy"
"mirna",,"mir-125b-5p","false","mir-125b-5p","Up"
"dummy",,"","false","mir-125b-5p/mir-142-5p","dummy"
"dummy",,"","false","mir-335-5p/mir-409-3p","dummy"
