CancerType;N.Triplets;N.mRNAs;N.miRNAs;N.miRNAPairs
ACC;26;26;44;26
BLCA;299;168;189;292
BRCA;19;18;36;19
CESC;21;18;34;21
CHOL;2;2;4;2
COAD;62;51;70;58
DLBC;14;13;22;14
ESCA;46;43;67;45
HNSC;68;51;72;65
KICH;21;20;30;20
KIRC;13;10;18;13
KIRP;14;13;24;13
LGG;87;36;74;86
LIHC;62;50;81;59
LUAD;46;42;61;45
LUSC;17;16;30;17
MESO;8;8;14;8
OV;5;5;9;5
PAAD;30;27;32;29
PCPG;26;22;46;26
PRAD;6;5;10;6
READ;3;3;6;3
SARC;782;374;277;741
SKCM;33;33;52;31
STAD;260;146;163;248
TGCT;430;236;233;405
THCA;8;8;16;8
THYM;485;258;196;415
UCEC;37;29;58;37
UCS;45;33;53;45
UVM;9;9;16;9
