"info","is_mrna_tf","name","selected","shared.name","updown","significance","miRfamily","mirnaCluster"
"mrna","false","PPP1R3G","false","PPP1R3G","Down",NA,NA,NA
"mrna","true","ZNF772","false","ZNF772","Down",NA,NA,NA
"mrna","false","FAM71F2","false","FAM71F2","Up",NA,NA,NA
"mrna","false","ZNF850","false","ZNF850","Up",NA,NA,NA
"mrna","false","HCAR2","false","HCAR2","Up",NA,NA,NA
"mrna","true","EBF3","false","EBF3","Down",NA,NA,NA
"mrna","false","SDK1","false","SDK1","Down",NA,NA,NA
"mrna","false","PARP15","false","PARP15","Down",NA,NA,NA
"mrna","false","CCDC80","false","CCDC80","Down",NA,NA,NA
"mrna","false","C2CD4A","false","C2CD4A","Up",NA,NA,NA
"mrna","false","PRICKLE1","false","PRICKLE1","Down",NA,NA,NA
"mrna","true","ZBTB46","false","ZBTB46","Down",NA,NA,NA
"mrna","false","TRIM71","false","TRIM71","Up",NA,NA,NA
"mrna","false","FRMD6","false","FRMD6","Down",NA,NA,NA
"mrna","false","RAB3C","false","RAB3C","Down",NA,NA,NA
"mrna","false","MYLK3","false","MYLK3","Down",NA,NA,NA
"mrna","false","FAM110B","false","FAM110B","Down",NA,NA,NA
"mrna","false","TSLP","false","TSLP","Down",NA,NA,NA
"mrna","false","FAXC","false","FAXC","Down",NA,NA,NA
"mrna","false","TMEM101","false","TMEM101","Down",NA,NA,NA
"mrna","false","ZNRF3","false","ZNRF3","Down",NA,NA,NA
"mrna","false","SLC38A1","false","SLC38A1","Up",NA,NA,NA
"mrna","false","GPR63","false","GPR63","Down",NA,NA,NA
"mrna","false","POF1B","false","POF1B","Down",NA,NA,NA
"mrna","true","ZFHX4","false","ZFHX4","Down",NA,NA,NA
"mrna","false","CDCP1","false","CDCP1","Up",NA,NA,NA
"mrna","false","SMOC1","false","SMOC1","Down",NA,NA,NA
"mrna","true","BACH2","false","BACH2","Down",NA,NA,NA
"mrna","false","ARFGEF3","false","ARFGEF3","Up",NA,NA,NA
"mrna","false","RALGPS2","false","RALGPS2","Down",NA,NA,NA
"mrna","false","SOBP","false","SOBP","Down",NA,NA,NA
"mrna","true","BNC2","false","BNC2","Down",NA,NA,NA
"mrna","false","DDIT4","false","DDIT4","Up",NA,NA,NA
"mrna","false","CTNNA3","false","CTNNA3","Down",NA,NA,NA
"mrna","true","FOXB1","false","FOXB1","Up",NA,NA,NA
"mrna","false","CEMIP2","false","CEMIP2","Up",NA,NA,NA
"mrna","false","CBX6","false","CBX6","Down",NA,NA,NA
"mrna","false","SLC7A8","false","SLC7A8","Down",NA,NA,NA
"mrna","false","MAPRE3","false","MAPRE3","Down",NA,NA,NA
"mrna","false","NLGN1","false","NLGN1","Down",NA,NA,NA
"mrna","false","RAB11FIP2","false","RAB11FIP2","Down",NA,NA,NA
"mrna","false","RASSF8","false","RASSF8","Down",NA,NA,NA
"mrna","false","ADAMTS5","false","ADAMTS5","Down",NA,NA,NA
"mrna","false","NOXA1","false","NOXA1","Up",NA,NA,NA
"mrna","false","IGF2BP1","false","IGF2BP1","Up",NA,NA,NA
"mrna","false","TXNIP","false","TXNIP","Down",NA,NA,NA
"mrna","false","SEMA4B","false","SEMA4B","Up",NA,NA,NA
"mrna","false","VAV3","false","VAV3","Up",NA,NA,NA
"mrna","false","SPRY1","false","SPRY1","Down",NA,NA,NA
"mrna","false","AKAP12","false","AKAP12","Down",NA,NA,NA
"mrna","false","ARHGAP29","false","ARHGAP29","Down",NA,NA,NA
"mrna","false","GRAP2","false","GRAP2","Down",NA,NA,NA
"mrna","false","PAPSS2","false","PAPSS2","Down",NA,NA,NA
"mrna","false","GPRC5A","false","GPRC5A","Up",NA,NA,NA
"mrna","false","IRS2","false","IRS2","Down",NA,NA,NA
"mrna","false","PRSS12","false","PRSS12","Down",NA,NA,NA
