"coloring","info","is_mrna_tf","name","selected","shared.name","miRfamily","mirnaCluster"
"mirna","mirna","","mir-376c-3p","false","mir-376c-3p","miR-376c-3p","hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655"
"dummy","dummy","","","false","mir-376c-3p/mir-377-3p",NA,NA
"mirna","mirna","","mir-582-5p","false","mir-582-5p","miR-582-5p","hsa-mir-582"
"dummy","dummy","","","false","mir-582-5p/mir-196b-5p",NA,NA
"mirna","mirna","","mir-200b-3p","false","mir-200b-3p","miR-200bc-3p/429","hsa-mir-200b,hsa-mir-200a,hsa-mir-429"
"dummy","dummy","","","false","mir-200b-3p/mir-582-5p",NA,NA
"mirna","mirna","","mir-335-5p","false","mir-335-5p","miR-335-5p","hsa-mir-335"
"dummy","dummy","","","false","mir-335-5p/mir-345-5p",NA,NA
"mirna","mirna","","mir-503-5p","false","mir-503-5p","miR-503-5p","hsa-mir-450b,hsa-mir-450a-1,hsa-mir-450a-2,hsa-mir-542,hsa-mir-503,hsa-mir-424"
"dummy","dummy","","","false","mir-503-5p/mir-345-5p",NA,NA
"mirna","mirna","","mir-141-5p","false","mir-141-5p","miR-141-5p","hsa-mir-200c,hsa-mir-141"
"dummy","dummy","","","false","mir-141-5p/mir-486-3p",NA,NA
"mirna","mirna","","mir-181d-5p","false","mir-181d-5p","miR-181-5p","hsa-mir-181c,hsa-mir-181d"
"dummy","dummy","","","false","mir-181d-5p/mir-20b-5p",NA,NA
"mirna","mirna","","mir-124-3p","false","mir-124-3p",NA,"hsa-mir-124-1"
"dummy","dummy","","","false","mir-124-3p/mir-518e-3p",NA,NA
"mirna","mirna","","mir-127-5p","false","mir-127-5p","miR-127-5p","hsa-mir-337,hsa-mir-665,hsa-mir-431,hsa-mir-433,hsa-mir-127,hsa-mir-432,hsa-mir-136"
"dummy","dummy","","","false","mir-127-5p/mir-485-5p",NA,NA
"mirna","mirna","","mir-377-5p","false","mir-377-5p","miR-377-5p/6086","hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541,hsa-mir-409,hsa-mir-412,hsa-mir-369,hsa-mir-410,hsa-mir-656"
"dummy","dummy","","","false","mir-377-5p/mir-127-5p",NA,NA
"mirna","mirna","","mir-642a-5p","false","mir-642a-5p","miR-642a-5p","hsa-mir-642a,hsa-mir-642b"
"dummy","dummy","","","false","mir-642a-5p/mir-106a-5p",NA,NA
"mirna","mirna","","mir-34b-5p","false","mir-34b-5p","miR-34b-5p/449c-5p","hsa-mir-34b,hsa-mir-34c"
"dummy","dummy","","","false","mir-34b-5p/mir-642a-5p",NA,NA
"mirna","mirna","","mir-7-5p","false","mir-7-5p","miR-7-5p","hsa-mir-7-1"
"dummy","dummy","","","false","mir-7-5p/mir-224-5p",NA,NA
"mirna","mirna","","mir-204-5p","false","mir-204-5p","miR-204-5p/211-5p","hsa-mir-204"
"dummy","dummy","","","false","mir-204-5p/mir-497-5p",NA,NA
"mirna","mirna","","mir-183-3p","false","mir-183-3p","miR-183-3p","hsa-mir-182,hsa-mir-96,hsa-mir-183"
"dummy","dummy","","","false","mir-183-3p/mir-1305",NA,NA
"mirna","mirna","","mir-130b-3p","false","mir-130b-3p","miR-130-3p/301-3p/454-3p","hsa-mir-301b,hsa-mir-130b"
"dummy","dummy","","","false","mir-130b-3p/mir-766-3p",NA,NA
"dummy","dummy","","","false","mir-204-5p/mir-485-5p",NA,NA
"mirna","mirna","","mir-506-3p","false","mir-506-3p","miR-124-3p.2/506-3p","hsa-mir-513a-2,hsa-mir-506,hsa-mir-507,hsa-mir-508"
"dummy","dummy","","","false","mir-506-3p/mir-211-5p",NA,NA
"mirna","mirna","","mir-299-3p","false","mir-299-3p","miR-299-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
"dummy","dummy","","","false","mir-299-3p/mir-655-3p",NA,NA
"mirna","mirna","","mir-495-3p","false","mir-495-3p","miR-495-3p","hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1"
"dummy","dummy","","","false","mir-495-3p/mir-299-3p",NA,NA
"mirna","mirna","","mir-376b-3p","false","mir-376b-3p","miR-376-3p","hsa-mir-543,hsa-mir-495,hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655"
"dummy","dummy","","","false","mir-376b-3p/mir-299-3p",NA,NA
"dummy","dummy","","","false","mir-299-3p/mir-376a-3p",NA,NA
"mirna","mirna","","mir-194-3p","false","mir-194-3p","miR-194-3p","hsa-mir-192,hsa-mir-194-2"
"dummy","dummy","","","false","mir-194-3p/mir-302d-3p",NA,NA
"dummy","dummy","","","false","mir-194-3p/mir-302c-3p",NA,NA
"dummy","dummy","","","false","mir-194-3p/mir-302a-3p",NA,NA
"mirna","mirna","","mir-1538","false","mir-1538","miR-1538/4745-3p","hsa-mir-1538"
"dummy","dummy","","","false","mir-1538/mir-663a",NA,NA
"dummy","dummy","","","false","mir-124-3p/mir-548d-3p",NA,NA
"dummy","dummy","","","false","mir-124-3p/mir-520d-5p",NA,NA
"mirna","mirna","","mir-518f-3p","false","mir-518f-3p","miR-518-3p","hsa-mir-520a,hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f,hsa-mir-520b,hsa-mir-518b,hsa-mir-526a-1,hsa-mir-520c,hsa-mir-518c"
"dummy","dummy","","","false","mir-518f-3p/mir-520d-5p",NA,NA
"mirna","mirna","","mir-518a-3p","false","mir-518a-3p","miR-518-3p","hsa-mir-517b,hsa-mir-520g,hsa-mir-516b-2,hsa-mir-526a-2,hsa-mir-518e,hsa-mir-518a-1,hsa-mir-518d,hsa-mir-516b-1,hsa-mir-518a-2"
"dummy","dummy","","","false","mir-518a-3p/mir-520d-5p",NA,NA
"dummy","dummy","","","false","mir-518f-3p/mir-518a-3p",NA,NA
"dummy","dummy","","","false","mir-518a-3p/mir-192-5p",NA,NA
"mirna","mirna","","mir-518b","false","mir-518b","miR-518-3p","hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f,hsa-mir-520b,hsa-mir-518b,hsa-mir-526a-1,hsa-mir-520c,hsa-mir-518c,hsa-mir-524,hsa-mir-517a"
"dummy","dummy","","","false","mir-518b/mir-520d-5p",NA,NA
"mirna","mirna","","mir-760","false","mir-760","miR-760","hsa-mir-760"
"dummy","dummy","","","false","mir-760/mir-766-3p",NA,NA
"mirna","mirna","","mir-491-5p","false","mir-491-5p","miR-491-5p","hsa-mir-491"
"dummy","dummy","","","false","mir-491-5p/mir-182-3p",NA,NA
"mirna","mirna","","mir-452-3p","false","mir-452-3p","miR-452-3p","hsa-mir-224,hsa-mir-452"
"dummy","dummy","","","false","mir-452-3p/mir-96-5p",NA,NA
"mirna","mirna","","mir-629-5p","false","mir-629-5p","miR-629-5p","hsa-mir-629"
"dummy","dummy","","","false","mir-629-5p/mir-124-3p",NA,NA
"mirna","mirna","","mir-181a-2-3p","false","mir-181a-2-3p","miR-181a-2-3p","hsa-mir-181a-2,hsa-mir-181b-2"
"dummy","dummy","","","false","mir-181a-2-3p/mir-651-5p",NA,NA
"mirna","mirna","","mir-205-5p","false","mir-205-5p","miR-205-5p","hsa-mir-205"
"dummy","dummy","","","false","mir-205-5p/mir-335-5p",NA,NA
"dummy","dummy","","","false","mir-194-3p/mir-7-5p",NA,NA
"mirna","mirna","","mir-9-5p","false","mir-9-5p","miR-9-5p","hsa-mir-9-1"
"dummy","dummy","","","false","mir-9-5p/mir-7-5p",NA,NA
"mirna","mirna","","mir-548o-3p","false","mir-548o-3p","miR-1323","hsa-mir-548o"
"dummy","dummy","","","false","mir-548o-3p/mir-3065-3p",NA,NA
"mirna","mirna","","mir-486-3p","false","mir-486-3p","miR-486-3p",NA
"dummy","dummy","","","false","mir-486-3p/mir-3662",NA,NA
"mirna","mirna","","mir-539-5p","false","mir-539-5p","miR-539-5p","hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b"
"dummy","dummy","","","false","mir-539-5p/mir-200c-3p",NA,NA
"dummy","dummy","","","false","mir-124-3p/mir-7-5p",NA,NA
"mirna","mirna","","mir-9-3p","false","mir-9-3p","miR-9-3p","hsa-mir-9-1"
"dummy","dummy","","","false","mir-9-3p/mir-455-3p",NA,NA
"mirna","mirna","","mir-519e-5p","false","mir-519e-5p","miR-515-5p/519e-5p","hsa-mir-1323,hsa-mir-498,hsa-mir-520e,hsa-mir-515-1,hsa-mir-519e,hsa-mir-520f,hsa-mir-515-2,hsa-mir-519c,hsa-mir-1283-1"
"dummy","dummy","","","false","mir-519e-5p/mir-515-5p",NA,NA
"dummy","dummy","","","false","mir-486-3p/mir-873-5p",NA,NA
"mirna","mirna","","mir-3150b-3p","false","mir-3150b-3p","miR-3150b-3p","hsa-mir-3150b,hsa-mir-3150a"
"dummy","dummy","","","false","mir-3150b-3p/mir-513c-5p",NA,NA
"dummy","dummy","","","false","mir-34b-5p/mir-518c-3p",NA,NA
"mirna","mirna","","mir-149-3p","false","mir-149-3p","miR-149-3p/4728-5p/6785-5p/6883-5p","hsa-mir-149"
"dummy","dummy","","","false","mir-149-3p/mir-518b",NA,NA
"dummy","dummy","","","false","mir-518a-3p/mir-34b-5p",NA,NA
"dummy","dummy","","","false","mir-518f-3p/mir-34b-5p",NA,NA
"dummy","dummy","","","false","mir-518b/mir-34b-5p",NA,NA
"mirna","mirna","","mir-18b-5p","false","mir-18b-5p","miR-18-5p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"dummy","dummy","","","false","mir-18b-5p/mir-7-1-3p",NA,NA
"dummy","dummy","","","false","mir-629-5p/mir-219a-5p",NA,NA
"mirna","mirna","","mir-3065-5p","false","mir-3065-5p","miR-3065-5p","hsa-mir-657,hsa-mir-3065,hsa-mir-338,hsa-mir-1250"
"dummy","dummy","","","false","mir-3065-5p/mir-219a-1-3p",NA,NA
"dummy","dummy","","","false","mir-3065-5p/mir-129-5p",NA,NA
"mirna","mirna","","mir-494-3p","false","mir-494-3p","miR-494-3p","hsa-mir-379,hsa-mir-411,hsa-mir-299,hsa-mir-380,hsa-mir-1197,hsa-mir-323a,hsa-mir-758,hsa-mir-329-1,hsa-mir-329-2,hsa-mir-494,hsa-mir-1193,hsa-mir-543,hsa-mir-495"
"dummy","dummy","","","false","mir-494-3p/mir-653-5p",NA,NA
"mirna","mirna","","mir-338-3p","false","mir-338-3p","miR-338-3p","hsa-mir-657,hsa-mir-3065,hsa-mir-338,hsa-mir-1250"
"dummy","dummy","","","false","mir-338-3p/mir-497-5p",NA,NA
"mirna","mirna","","mir-214-3p","false","mir-214-3p","miR-214-3p/3619-5p","hsa-mir-214,hsa-mir-3120,hsa-mir-199a-2"
"dummy","dummy","","","false","mir-214-3p/mir-940",NA,NA
"mirna","mirna","","mir-130b-5p","false","mir-130b-5p","miR-130b-5p","hsa-mir-301b,hsa-mir-130b"
"dummy","dummy","","","false","mir-130b-5p/mir-940",NA,NA
"mirna","mirna","","mir-301b-3p","false","mir-301b-3p","miR-130-3p/301-3p/454-3p","hsa-mir-301b,hsa-mir-130b"
"dummy","dummy","","","false","mir-301b-3p/mir-449a",NA,NA
"mirna","mirna","","mir-20b-5p","false","mir-20b-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"dummy","dummy","","","false","mir-20b-5p/mir-520c-3p",NA,NA
"mirna","mirna","","mir-520c-3p","false","mir-520c-3p","miR-302-3p/372-3p/373-3p/520-3p","hsa-mir-525,hsa-mir-523,hsa-mir-518f,hsa-mir-520b,hsa-mir-518b,hsa-mir-526a-1,hsa-mir-520c,hsa-mir-518c,hsa-mir-524,hsa-mir-517a,hsa-mir-519d,hsa-mir-521-2"
"dummy","dummy","","","false","mir-520c-3p/mir-432-5p",NA,NA
"mirna","mirna","","mir-106a-5p","false","mir-106a-5p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-363,hsa-mir-92a-2,hsa-mir-19b-2,hsa-mir-20b,hsa-mir-18b,hsa-mir-106a"
"dummy","dummy","","","false","mir-106a-5p/mir-520d-3p",NA,NA
"mirna","mirna","","mir-302c-3p","false","mir-302c-3p",NA,"hsa-mir-367,hsa-mir-302d,hsa-mir-302a,hsa-mir-302c,hsa-mir-302b"
"dummy","dummy","","","false","mir-302c-3p/mir-106a-5p",NA,NA
"mirna","mirna","","mir-520d-3p","false","mir-520d-3p","miR-302-3p/372-3p/373-3p/520-3p","hsa-mir-524,hsa-mir-517a,hsa-mir-519d,hsa-mir-521-2,hsa-mir-520d,hsa-mir-517b,hsa-mir-520g,hsa-mir-516b-2,hsa-mir-526a-2,hsa-mir-518e"
"dummy","dummy","","","false","mir-520d-3p/mir-432-5p",NA,NA
"mirna","mirna","","mir-512-3p","false","mir-512-3p","miR-512-3p","hsa-mir-512-1,hsa-mir-512-2,hsa-mir-1323,hsa-mir-498,hsa-mir-520e"
"dummy","dummy","","","false","mir-512-3p/mir-432-5p",NA,NA
"dummy","dummy","","","false","mir-106a-5p/mir-520c-3p",NA,NA
"mirna","mirna","","mir-526b-3p","false","mir-526b-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-515-2,hsa-mir-519c,hsa-mir-1283-1,hsa-mir-520a,hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f,hsa-mir-520b,hsa-mir-518b"
"dummy","dummy","","","false","mir-526b-3p/mir-512-3p",NA,NA
"dummy","dummy","","","false","mir-512-3p/mir-106a-5p",NA,NA
"mirna","mirna","","mir-519d-3p","false","mir-519d-3p","miR-17-5p/20-5p/93-5p/106-5p/519-3p","hsa-mir-526a-1,hsa-mir-520c,hsa-mir-518c,hsa-mir-524,hsa-mir-517a,hsa-mir-519d,hsa-mir-521-2,hsa-mir-520d,hsa-mir-517b,hsa-mir-520g"
"dummy","dummy","","","false","mir-519d-3p/mir-432-5p",NA,NA
"dummy","dummy","","","false","mir-526b-3p/mir-302d-3p",NA,NA
"mirna","mirna","","mir-520a-3p","false","mir-520a-3p","miR-302-3p/372-3p/373-3p/520-3p","hsa-mir-520f,hsa-mir-515-2,hsa-mir-519c,hsa-mir-1283-1,hsa-mir-520a,hsa-mir-526b,hsa-mir-519b,hsa-mir-525,hsa-mir-523,hsa-mir-518f"
"dummy","dummy","","","false","mir-520a-3p/mir-20b-5p",NA,NA
"dummy","dummy","","","false","mir-106a-5p/mir-526b-3p",NA,NA
"dummy","dummy","","","false","mir-519d-3p/mir-526b-3p",NA,NA
"dummy","dummy","","","false","mir-519d-3p/mir-20b-5p",NA,NA
"dummy","dummy","","","false","mir-526b-3p/mir-432-5p",NA,NA
"mirna","mirna","","mir-371a-5p","false","mir-371a-5p","miR-371-5p","hsa-mir-371a,hsa-mir-371b,hsa-mir-372,hsa-mir-373"
"dummy","dummy","","","false","mir-371a-5p/mir-548e-3p",NA,NA
"mirna","mirna","","mir-373-5p","false","mir-373-5p","miR-371b-5p/373-5p/616-5p","hsa-mir-371a,hsa-mir-371b,hsa-mir-372,hsa-mir-373"
"dummy","dummy","","","false","mir-373-5p/mir-616-5p",NA,NA
"dummy","dummy","","","false","mir-371a-5p/mir-373-5p",NA,NA
"dummy","dummy","","","false","mir-20b-5p/mir-301b-3p",NA,NA
"dummy","dummy","","","false","mir-106a-5p/mir-301b-3p",NA,NA
"dummy","dummy","","","false","mir-124-3p/mir-29b-3p",NA,NA
"mirna","mirna","","mir-512-5p","false","mir-512-5p","miR-512-5p","hsa-mir-512-1,hsa-mir-512-2,hsa-mir-1323,hsa-mir-498,hsa-mir-520e"
"dummy","dummy","","","false","mir-512-5p/mir-3922-3p",NA,NA
"mirna","mirna","","mir-122-5p","false","mir-122-5p","miR-122-5p","hsa-mir-122,hsa-mir-3591"
"dummy","dummy","","","false","mir-122-5p/mir-18a-3p",NA,NA
"mirna","mirna","","mir-548b-3p","false","mir-548b-3p","miR-548b-3p","hsa-mir-548b"
"dummy","dummy","","","false","mir-548b-3p/mir-7-5p",NA,NA
"mirna","mirna","","mir-548e-3p","false","mir-548e-3p","miR-548az-3p/548ar-3p/548a-3p/548e-3p/548f-3p","hsa-mir-548e"
"dummy","dummy","","","false","mir-548e-3p/mir-7-5p",NA,NA
"dummy","dummy","","","false","mir-205-5p/let-7e-5p",NA,NA
"mirna","mirna","","mir-320c","false","mir-320c","miR-320","hsa-mir-320c-1"
"dummy","dummy","","","false","mir-320c/mir-205-5p",NA,NA
"dummy","dummy","","","false","mir-122-5p/mir-1305",NA,NA
