"info","is_mrna_tf","name","selected","shared.name","updown","significance","miRfamily","mirnaCluster"
"mrna","true","ZBTB8B","false","ZBTB8B","down",NA,NA,NA
"mrna","false","SAMD12","false","SAMD12","down",NA,NA,NA
"mrna","true","ZNF621","false","ZNF621","down",NA,NA,NA
"mrna","false","BTLA","false","BTLA","up",NA,NA,NA
"mrna","false","SIK1","false","SIK1","down",NA,NA,NA
"mrna","false","SLC24A4","false","SLC24A4","up",NA,NA,NA
"mrna","false","RAB3IP","false","RAB3IP","down",NA,NA,NA
"mrna","false","UBASH3B","false","UBASH3B","up",NA,NA,NA
"mrna","false","CPEB4","false","CPEB4","down",NA,NA,NA
"mrna","false","GNPNAT1","false","GNPNAT1","down",NA,NA,NA
"mrna","false","ZMAT3","false","ZMAT3","down",NA,NA,NA
"mrna","false","SEMA4C","false","SEMA4C","up",NA,NA,NA
"mrna","true","CASZ1","false","CASZ1","down",NA,NA,NA
"mrna","false","ESRP1","false","ESRP1","down",NA,NA,NA
"mrna","true","BCL11A","false","BCL11A","up",NA,NA,NA
"mrna","false","SUCO","false","SUCO","down",NA,NA,NA
"mrna","false","TMEM245","false","TMEM245","down",NA,NA,NA
"mrna","false","SLC19A2","false","SLC19A2","down",NA,NA,NA
"mrna","false","ALDH1A2","false","ALDH1A2","down",NA,NA,NA
"mrna","false","ULK1","false","ULK1","up",NA,NA,NA
"mrna","true","ZNF711","false","ZNF711","down",NA,NA,NA
"mrna","false","PAPPA","false","PAPPA","down",NA,NA,NA
"mrna","true","MITF","false","MITF","down",NA,NA,NA
"mrna","false","LDLR","false","LDLR","down",NA,NA,NA
"mrna","false","ITPR1","false","ITPR1","down",NA,NA,NA
"mrna","false","CCN1","false","CCN1","down",NA,NA,NA
"mrna","false","IGFBP3","false","IGFBP3","up",NA,NA,NA
"mrna","false","IGF1R","false","IGF1R","down",NA,NA,NA
"mrna","false","GPM6B","false","GPM6B","down",NA,NA,NA
"mrna","false","GALNT3","false","GALNT3","down",NA,NA,NA
"mrna","false","CDH1","false","CDH1","down",NA,NA,NA
"mirna","","mir-214-3p","false","mir-214-3p","down",2.10596113760834e-12,"miR-214-3p/3619-5p","hsa-mir-214,hsa-mir-3120,hsa-mir-199a-2"
"mirna","","mir-381-3p","false","mir-381-3p","down",0.00842066011523623,"miR-381-3p","hsa-mir-376c,hsa-mir-376a-2,hsa-mir-654,hsa-mir-376b,hsa-mir-376a-1,hsa-mir-300,hsa-mir-1185-1,hsa-mir-1185-2,hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485"
"mirna","","mir-134-5p","false","mir-134-5p","down",0.0026705271280448,"miR-134-5p","hsa-mir-381,hsa-mir-487b,hsa-mir-539,hsa-mir-889,hsa-mir-544a,hsa-mir-655,hsa-mir-487a,hsa-mir-382,hsa-mir-134,hsa-mir-668,hsa-mir-485,hsa-mir-323b,hsa-mir-154,hsa-mir-496,hsa-mir-377,hsa-mir-541"
"mirna","","mir-493-5p","false","mir-493-5p","down",1.37928805826532e-05,"miR-493-5p","hsa-mir-493,hsa-mir-337,hsa-mir-665"
